type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,holding_hours,exit_reason,trade_id
Long,False,1.0,2025-11-21 04:00:00,4084.71,2025-11-21 08:00:00,4079.21,4003.64,-5.8,0,Signal Exit,479
Long,False,1.0,2025-11-22 00:00:00,4069.49,2025-11-24 04:00:00,4068.96,3994.44,-2.33,48,Signal Exit,480
Long,False,1.0,2025-11-24 08:00:00,4074.99,2025-11-24 12:00:00,4050.43,4017.01,-24.86,0,Signal Exit,481
Long,False,1.0,2025-11-24 20:00:00,4069.96,2025-11-25 12:00:00,4143.04,4056.82,72.03,24,Signal Exit,482
Long,False,1.0,2025-11-25 20:00:00,4133.55,2025-11-26 00:00:00,4122.88,4078.56,-11.72,24,Signal Exit,483
Long,False,1.0,2025-11-26 04:00:00,4133.93,2025-11-26 08:00:00,4133.8,4080.93,-0.43,0,Signal Exit,484
Long,False,1.0,2025-11-26 12:00:00,4166.08,2025-11-26 16:00:00,4157.32,4099.33,-9.06,0,Signal Exit,485
Long,False,1.0,2025-11-26 20:00:00,4171.64,2025-11-27 00:00:00,4165.34,4119.26,-7.35,24,Signal Exit,486
Long,False,1.0,2025-11-27 08:00:00,4164.7,2025-11-27 12:00:00,4147.46,4131.49,-17.54,0,Signal Exit,487
Long,False,1.0,2025-11-27 16:00:00,4160.03,2025-11-27 20:00:00,4157.27,4117.52,-3.06,0,Signal Exit,488
Long,False,1.0,2025-11-28 00:00:00,4158.04,2025-11-28 04:00:00,4159.71,4124.99,1.37,0,Signal Exit,489
Long,False,1.0,2025-11-28 08:00:00,4163.46,2025-11-28 16:00:00,4174.65,4139.27,10.89,0,Signal Exit,490
Long,False,1.0,2025-11-29 00:00:00,4203.7,2025-12-02 00:00:00,4232.5,4191.15,26.25,72,Signal Exit,491
Long,True,2.0,2025-12-01 08:00:00,4222.13,2025-12-02 00:00:00,4232.5,4191.15,18.64,24,Signal Exit,492
Long,False,1.0,2025-12-02 04:00:00,4237.09,2025-12-02 08:00:00,4227.58,4193.28,-9.81,0,Signal Exit,493
Long,False,1.0,2025-12-03 04:00:00,4196.71,2025-12-03 16:00:00,4206.44,4163.53,9.43,0,Signal Exit,494
Long,False,1.0,2025-12-03 20:00:00,4208.82,2025-12-04 04:00:00,4207.75,4164.55,-2.12,24,Signal Exit,495
